Source,Number,Content,Time,ConversationID,SIMCardID,Local,Reserved

From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.251.130.8，告警名称:mem.pool2，告警内容: mem.pool2已达到61.95 %, 连续6次大于阈值60.0%，区域：南湖标准区，发生时间：2025-07-16 14:43:22，首次发生时间：2025-07-16 14:43:22，物理子系统：C-VPC,C-VPC 标准区-虚拟私有网络 ，部署单元：C-VPCGWWN2YL002,标准武汉二区-VPCGW网关节点-大数据COS专属集群组，IP：10.251.130.8，告警来源：Infrastructure Monitoring",2025/07/16 14:44:04,1491,0,,
From,106980095533,"【建设银行】告警级别：恢复通知 ，告警对象：underlay cvm，告警名称：政务信创北京一区,政务信创北京二区-DCGW-公共集群-二类拨测告警 ，告警内容：DescribeDirectConnectTunnels接口，拨测告警已恢复,由告警规则关闭， 发生时间：2025-07-16 11:31:02，首次发生时间：2025-07-16 11:30:31，10.93.100.61，告警来源：GWP-网关平台",2025/07/16 11:31:20,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：underlay cvm，告警名称：政务信创北京一区,政务信创北京二区-DCGW-公共集群-二类拨测告警 ，告警内容：DC二类拨测告警_异常接口: DescribeDirectConnectTunnels_none_TencentCloudSDKException code:ClientNetworkError message:The read operation timed out requestId:None。， 发生时间：2025-07-16 11:30:31，首次发生时间：2025-07-16 11:30:31，10.93.100.61，告警来源：GWP-网关平台",2025/07/16 11:30:55,1491,0,,
From,106980095533,"【建设银行】告警级别：恢复通知 ，告警对象：数据库锁查询，告警名称：数据库锁查询 ，告警内容：zwyun数据库发现有四层锁， 发生时间：2025-07-16 10:28:01，首次发生时间：2025-07-16 10:28:01，告警来源：CLB缺省",2025/07/16 10:28:24,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.235.35.134,告警名称:workers ,告警内容: workers已达到43 , 连续1次大于阈值40.0，区域：稻香湖自用区, 发生时间：2025-07-16 10:00:46，首次发生时间：2025-07-16 10:00:46，P-CLB,P-CLB 自用区-负载均衡 | P-CLBDX4LD7LANAZ003,自用北京三区-负载均衡CLB网关节点-七层-内网-ipv4-租户集群1| 10.235.35.134，告警来源：Infrastructure Monitoring",2025/07/16 10:01:31,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.229.135.17，告警名称:mem.pool0，告警内容: mem.pool0已恢复到59.56 %，区域：稻香湖自用区，发生时间：2025-07-16 07:36:55，首次发生时间：2025-07-16 07:36:55，物理子系统：P-VPC,P-VPC 自用区-虚拟私有网络 ，部署单元：自用北京零区-VPCGW网关节点-COS集群组,P-VPCGW-BJAZ0-COS，IP：10.229.135.17，告警来源：Infrastructure Monitoring",2025/07/16 07:37:39,1491,0,,
From,106980095533,"【建设银行】告警级别：恢复通知 ，告警对象：10.232.130.134,告警名称:xgw.max_elem_inuse ,告警内容: xgw.max_elem_inuse已恢复到69.5 ,由告警规则关闭，区域：稻香湖信创区, 发生时间：2025-07-16 07:17:39，首次发生时间：2025-07-16 07:15:58，P-DC 自用区-专线接入 ,P-DC | P-BMSXC2XGW001,自用信创北京二区-无状态裸金属网关节点-公共集群| 10.232.130.134 ，告警来源：Infrastructure Monitoring",2025/07/16 07:18:18,1491,0,,
From,106980095533,"【建设银行】告警级别：恢复通知 ，告警对象：10.232.130.70,告警名称:xgw.max_elem_inuse ,告警内容: xgw.max_elem_inuse已恢复到69.85 ,由告警规则关闭，区域：稻香湖信创区, 发生时间：2025-07-16 07:16:33，首次发生时间：2025-07-16 07:15:58，P-DC 自用区-专线接入 ,P-DC | P-BMSXC2XGW001,自用信创北京二区-无状态裸金属网关节点-公共集群| 10.232.130.70 ，告警来源：Infrastructure Monitoring",2025/07/16 07:17:13,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.232.130.134,告警名称:xgw.max_elem_inuse ,告警内容: xgw.max_elem_inuse已达到70.94 , 连续5次大于阈值70.0，区域：稻香湖信创区, 发生时间：2025-07-16 07:15:58，首次发生时间：2025-07-16 07:15:58，P-DC 自用区-专线接入 ,P-DC | P-BMSXC2XGW001,自用信创北京二区-无状态裸金属网关节点-公共集群| 10.232.130.134 ，告警来源：Infrastructure Monitoring",2025/07/16 07:16:50,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.232.130.70,告警名称:xgw.max_elem_inuse ,告警内容: xgw.max_elem_inuse已达到73.37 , 连续5次大于阈值70.0，区域：稻香湖信创区, 发生时间：2025-07-16 07:15:58，首次发生时间：2025-07-16 07:15:58，P-DC 自用区-专线接入 ,P-DC | P-BMSXC2XGW001,自用信创北京二区-无状态裸金属网关节点-公共集群| 10.232.130.70 ，告警来源：Infrastructure Monitoring",2025/07/16 07:16:46,1491,0,,
From,106980095533,"【建设银行】| 网络_DC_XGW_Linux操作系统健康检查每日巡检_自用信创北京五区_2025-07-16_07:15:00|作业执行异常",2025/07/16 07:15:26,1491,0,,
From,106980095533,"【建设银行】|网络_DC_XGW_Linux操作系统健康检查每日巡检_自用北京零区三区_2025-07-16_07:15:00|作业执行异常",2025/07/16 07:15:17,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.229.135.19，告警名称:mem.pool0，告警内容: mem.pool0已恢复到59.98 %，区域：稻香湖自用区，发生时间：2025-07-16 05:21:49，首次发生时间：2025-07-16 05:21:49，物理子系统：P-VPC,P-VPC 自用区-虚拟私有网络 ，部署单元：自用北京零区-VPCGW网关节点-COS集群组,P-VPCGW-BJAZ0-COS，IP：10.229.135.19，告警来源：Infrastructure Monitoring",2025/07/16 05:22:21,1491,0,,
From,106980095533,"【建设银行】告警级别：恢复通知, 告警对象：10.229.32.159,告警名称:tcs.pod.memory.used_pct,领域：网络,产品：VPC ,告警内容: pod内存使用率 pod_list tce_ocloud-vpc-cmgt-v3-f84c5cccc-fc5n5 已达到84.91 %, 连续3次大于阈值75.0%,由告警规则关闭，区域：稻香湖自用区, 发生时间：2025-07-16 05:09:47，首次发生时间：2025-07-16 05:09:47, 物理子系统：P-CCE 自用区-云产品管控平台 ,P-CCE, 部署单元:自用北京零区-CCETCS_MASTER节点-TCS集群,P-CCEDX0TCS-MASTER，IP:10.229.32.159, 告警来源：Infrastructure Monitoring",2025/07/16 05:10:34,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：C-VPCGWWN2BGD001-2，告警名称:mem.pool2，告警内容: mem.pool2已恢复到57.46 %，区域：南湖标准区，发生时间：2025-07-16 04:41:05，首次发生时间：2025-07-16 04:41:05，物理子系统：C-VPC,C-VPC 标准区-虚拟私有网络 ，部署单元：C-VPCGWWN2COS001,标准武汉二区-VPCGW网关节点-COS集群组，IP：10.251.130.14，告警来源：Infrastructure Monitoring",2025/07/16 04:41:42,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.229.135.20，告警名称:mem.pool0，告警内容: mem.pool0已恢复到57.82 %，区域：稻香湖自用区，发生时间：2025-07-16 04:32:16，首次发生时间：2025-07-16 04:32:16，物理子系统：P-VPC,P-VPC 自用区-虚拟私有网络 ，部署单元：自用北京零区-VPCGW网关节点-COS集群组,P-VPCGW-BJAZ0-COS，IP：10.229.135.20，告警来源：Infrastructure Monitoring",2025/07/16 04:33:03,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.250.134.197,告警名称:10.250.134.197发生了DC产品线_messages日志报错告警 ,告警内容: 对10.250.134.197中DCGW_message日志内容进行监测，检测到存在:memory error,不包含:mcelog触发告警：日志原文:Jul 16 03:24:45 localhost kernel: 6 Hardware Error : section_type: memory error，区域：南湖自用区, 发生时间：2025-07-16 03:25:00，首次发生时间：2025-07-16 03:25:00，P-DC 自用区-专线接入 ,P-DC | 自用武汉一区-专线网关节点-大数据集群,P-DCGWWN1BGD001| 10.250.134.197 ，告警来源：LogMon",2025/07/16 03:25:30,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 告警对象：underlay cvm,告警名称:南湖自用区-BFD状态异常 ,告警内容: 南湖自用区-BFD状态异常通道：dcx-jyi8caea,1255000007,11.56.241.67,11.56.241.68，发生时间：2025-07-16 03:25:01，首次发生时间：2025-07-16 03:25:01 告警来源：GWP-网关平台",2025/07/16 03:25:25,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.250.161.107，告警名称：vpc.sys_stats.tx_err ，告警内容：vpc.sys_stats.tx_err已达到26828 pkts, 连续10次大于阈值20000.0pkts，区域：南湖自用区, 发生时间：2025-07-16 02:42:05，首次发生时间：2025-07-16 02:42:05，物理子系统：P-VPC,P-VPC 自用区-虚拟私有网络 ， 部署单元：P-VPCGWWN1BGD011,自用武汉一区-VPCGW网关节点-大数据COS专属集群组，IP：10.250.161.107 ，告警来源：Infrastructure Monitoring，VPCGW-10.250.161.107，svc或rs丢包值发生变化，请关注VPCGW",2025/07/16 02:43:00,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.250.161.107，告警名称:vpc.sys_stats.tx_err，告警内容: vpc.sys_stats.tx_err已恢复到15100 pkts，区域：南湖自用区，发生时间：2025-07-16 02:42:10，首次发生时间：2025-07-16 02:42:05，物理子系统：P-VPC,P-VPC 自用区-虚拟私有网络 ，部署单元：P-VPCGWWN1BGD011,自用武汉一区-VPCGW网关节点-大数据COS专属集群组，IP：10.250.161.107，告警来源：Infrastructure Monitoring",2025/07/16 02:42:57,1491,0,,
From,106980095533,"【建设银行】告警级别：次要告警 ，告警对象：10.250.161.107，告警名称:vpc.sys_stats.tx_err，告警内容: vpc.sys_stats.tx_err已达到26828 pkts, 连续10次大于阈值20000.0pkts，区域：南湖自用区，发生时间：2025-07-16 02:42:05，首次发生时间：2025-07-16 02:42:05，物理子系统：P-VPC,P-VPC 自用区-虚拟私有网络 ，部署单元：自用武汉一区-VPCGW网关节点-大数据COS专属集群组,P-VPCGWWN1BGD011，IP：10.250.161.107，告警来源：Infrastructure Monitoring",2025/07/16 02:42:32,1491,0,,
From,106980095533,"【建设银行】云哨告警恢复 | tcs名称: 建行云 | 地域: bj2 | 产品: tcs | 规则: 进程存活状态 | 对象: global.10.90.58.204.clb-eip-eip.tgwadm | 等级: 重要 | 策略: CLB-稻香湖-政务区-BJ_DXH_ZW_AZ3_EIP_YJ-物理服务器-process   | 描述: biz_name="clb", cluster="global", comm="tgwadm", hostType="physics", module_name="clb-eip-eip", node="10.90.58.204", set_name="clb-eip", sn="71004366A035", tcs_cluster="global" | 恢复时间: 2025-07-16 01:25:08",2025/07/16 01:25:48,1491,0,,
From,106980095533,"【建设银行】告警级别：主要告警 ，告警对象：process,告警名称:CLB-稻香湖-政务区-BJ_DXH_ZW_AZ3_EIP_YJ-物理服务器-process ,告警内容: 触发条件:进程存活状态==0 count |当前值为:0.00|进程存活状态|biz_name=_clb_, cluster=_global_, comm=_tgwadm_, hostType=_physics_, module_name=_clb-eip-eip_, node=_10.90.58.204_, set_name=_clb-eip_, sn=_71004366A035_, tcs_cluster=_global_，区域：稻香湖政务专区, 发生时间：2025-07-16 01:24:08，首次发生时间：2025-07-16 01:24:08，物理子系统：G-CLB 政务区-负载均衡 ,G-CLB，部署单元：政务信创北京三区-弹性公网IP网关节点-应急集群,G-CLBDXXC3EIPYJ001，IP：10.90.58.204 ，告警来源：公有云-管控端-Barad",2025/07/16 01:24:30,1491,0,,
